Hotel Name,City,Budget for 1 day and night (INR),Google Maps Rating
Inn Oasis,Delhi,5761,3.2
Garden Hub,Delhi,6316,4.8
Inn Corner,Delhi,4334,4.4
Cafe Retreat,Delhi,3365,3.4
Cafe Grill,Delhi,6806,3.4
Inn Retreat,Delhi,6028,4.3
Plaza Terrace,Mumbai,6575,3.1
Plaza Oasis,Mumbai,3789,2.8
Garden Spice,Mumbai,3126,3.0
Lounge Spice,Mumbai,1730,3.2
Lounge Corner,Mumbai,4381,4.4
Plaza Grill,Mumbai,1270,3.3
Bistro Terrace,Mumbai,3710,4.7
Cafe Retreat,Mumbai,4875,3.6
Garden Corner,Mumbai,6680,3.1
Resort Grill,Mumbai,2199,3.5
Royal Hub,Chennai,3020,3.6
Resort Heaven,Chennai,5014,2.7
Bistro Spice,Chennai,3127,3.5
Garden Delight,Chennai,6614,3.4
Lounge Paradise,Chennai,1806,3.6
Cafe Spice,Chennai,2059,4.8
Lounge Grill,Chennai,6786,4.7
Inn Terrace,Kolkata,4517,4.2
Palace Terrace,Kolkata,2003,3.2
The Delight,Kolkata,5369,3.0
Plaza Oasis,Kolkata,4872,4.9
Cafe Retreat,Kolkata,2382,3.8
Inn Oasis,Kolkata,4590,5.0
Inn Hub,Kolkata,2773,2.9
Cafe Delight,Bengaluru,2602,4.7
Lounge Oasis,Bengaluru,6086,4.9
Royal Paradise,Bengaluru,2076,4.0
Lounge Corner,Bengaluru,4580,4.6
Plaza Corner,Bengaluru,2696,4.2
Bistro Retreat,Bengaluru,1474,4.6
Royal Heaven,Bengaluru,4774,3.6
The Oasis,Bengaluru,6795,4.2
The Corner,Hyderabad,1639,3.0
Plaza Heaven,Hyderabad,955,3.8
Cafe Terrace,Hyderabad,4407,4.6
Lounge Terrace,Hyderabad,3679,3.3
Resort Heaven,Hyderabad,4124,4.4
Bistro Hub,Hyderabad,4016,2.8
Hotel Heaven,Hyderabad,1645,3.2
Inn Oasis,Hyderabad,5325,4.8
The Corner,Hyderabad,2359,3.4
Resort Retreat,Hyderabad,2745,3.8
Royal Oasis,Pune,920,4.9
Inn Oasis,Pune,6172,2.8
Resort Heaven,Pune,3708,4.0
Cafe Terrace,Pune,3770,4.7
Hotel Grill,Pune,6772,2.9
Palace Hub,Pune,4368,4.0
Inn Delight,Pune,4285,2.9
Garden Delight,Pune,5152,3.2
Resort Grill,Pune,6113,3.6
Palace Spice,Pune,5475,3.5
Palace Spice,Ahmedabad,4126,2.8
Plaza Terrace,Ahmedabad,967,4.7
Royal Retreat,Ahmedabad,5976,3.0
Resort Spice,Ahmedabad,6540,3.5
Resort Delight,Ahmedabad,4393,4.8
Palace Oasis,Ahmedabad,3371,4.0
Cafe Oasis,Ahmedabad,4408,3.8
Garden Delight,Ahmedabad,6685,4.4
Palace Heaven,Jaipur,2842,3.0
The Oasis,Jaipur,3978,3.9
Inn Delight,Jaipur,5787,4.4
Bistro Terrace,Jaipur,2920,3.4
The Terrace,Jaipur,5574,2.5
Lounge Retreat,Jaipur,6143,3.6
Royal Retreat,Jaipur,3668,3.8
Inn Spice,Lucknow,2285,2.9
Lounge Spice,Lucknow,4883,4.1
Lounge Oasis,Lucknow,5589,2.9
The Hub,Lucknow,1599,4.0
The Hub,Lucknow,3918,3.2
Cafe Paradise,Lucknow,5097,4.4
Lounge Corner,Delhi,4229,3.6
Resort Hub,Delhi,5232,3.0
Cafe Terrace,Delhi,3395,4.3
Cafe Paradise,Delhi,3109,3.5
Lounge Heaven,Delhi,2800,3.3
The Delight,Delhi,1864,4.7
Lounge Terrace,Delhi,1275,4.5
Hotel Paradise,Delhi,5807,5.0
Palace Hub,Delhi,4939,4.7
Hotel Grill,Delhi,5800,3.1
Plaza Hub,Mumbai,5002,4.9
Inn Corner,Mumbai,6301,2.7
Palace Hub,Mumbai,6356,4.6
Resort Spice,Mumbai,5666,3.5
Inn Paradise,Mumbai,4500,4.2
Lounge Grill,Mumbai,1236,2.5
Resort Hub,Mumbai,5352,4.4
Resort Corner,Mumbai,3563,3.0
Plaza Delight,Mumbai,5283,4.0
Plaza Paradise,Mumbai,4427,3.2
Bistro Corner,Chennai,4459,3.4
Cafe Retreat,Chennai,2372,2.6
Plaza Paradise,Chennai,996,3.6
Lounge Spice,Chennai,6037,2.5
Hotel Spice,Chennai,2574,3.7
Plaza Grill,Chennai,4758,3.2
Palace Paradise,Chennai,3139,4.7
Plaza Heaven,Kolkata,6383,5.0
Royal Corner,Kolkata,3882,4.7
Hotel Retreat,Kolkata,3517,3.5
Palace Spice,Kolkata,4016,2.6
Bistro Spice,Kolkata,1486,3.3
Plaza Delight,Kolkata,6977,4.8
Palace Spice,Kolkata,4170,4.9
Lounge Paradise,Bengaluru,2928,4.2
Plaza Terrace,Bengaluru,1026,3.8
Inn Oasis,Bengaluru,4029,3.9
Lounge Paradise,Bengaluru,1296,4.4
Royal Paradise,Bengaluru,2791,4.2
Plaza Hub,Bengaluru,4383,4.3
Bistro Corner,Bengaluru,1875,4.6
Resort Grill,Bengaluru,5424,2.7
Hotel Delight,Hyderabad,992,3.7
Palace Paradise,Hyderabad,2522,2.8
The Delight,Hyderabad,3787,5.0
Hotel Paradise,Hyderabad,1510,3.6
Garden Grill,Hyderabad,1728,4.6
Palace Spice,Hyderabad,4006,4.1
Inn Corner,Hyderabad,4760,3.6
Royal Heaven,Hyderabad,1504,4.0
The Grill,Hyderabad,1216,3.5
Cafe Terrace,Hyderabad,6838,4.5
The Delight,Pune,3470,3.3
The Terrace,Pune,4090,4.5
Inn Retreat,Pune,1309,4.2
Cafe Heaven,Pune,5005,3.6
Plaza Heaven,Pune,4590,3.5
Palace Delight,Pune,2621,3.4
Bistro Paradise,Pune,3353,2.7
Plaza Spice,Pune,5837,4.9
Garden Spice,Pune,6355,2.9
Palace Grill,Pune,3495,3.0
Resort Hub,Ahmedabad,5875,3.9
Lounge Retreat,Ahmedabad,4778,2.7
Bistro Heaven,Ahmedabad,2527,2.8
Bistro Paradise,Ahmedabad,6238,4.3
Inn Paradise,Ahmedabad,3424,4.7
Resort Corner,Ahmedabad,5562,3.6
Lounge Terrace,Ahmedabad,1595,3.1
Bistro Paradise,Ahmedabad,3044,2.5
The Oasis,Jaipur,4294,4.9
Palace Terrace,Jaipur,983,3.0
Plaza Spice,Jaipur,3658,3.0
Inn Paradise,Jaipur,4914,4.0
Resort Terrace,Jaipur,2668,4.9
Resort Grill,Jaipur,1688,4.2
Inn Heaven,Jaipur,4585,3.7
Cafe Hub,Lucknow,2839,4.9
Lounge Delight,Lucknow,3729,3.2
Resort Delight,Lucknow,6506,4.5
Cafe Oasis,Lucknow,2956,4.4
Cafe Paradise,Lucknow,2022,4.4
Palace Paradise,Lucknow,6621,3.1
Inn Hub,Delhi,6036,2.7
Royal Grill,Delhi,1930,2.7
Cafe Heaven,Delhi,4461,3.4
Resort Heaven,Delhi,5464,4.2
Cafe Spice,Delhi,3869,4.1
Royal Paradise,Delhi,4852,3.2
Bistro Spice,Delhi,6760,4.7
Cafe Terrace,Delhi,1162,2.9
Hotel Retreat,Delhi,5642,4.6
Hotel Hub,Delhi,1162,3.7
Garden Hub,Mumbai,1408,3.6
Plaza Spice,Mumbai,2860,2.6
The Grill,Mumbai,1943,3.4
Inn Delight,Mumbai,1725,4.9
Lounge Corner,Mumbai,4755,4.4
Inn Heaven,Mumbai,3073,4.4
Inn Paradise,Mumbai,1370,2.6
Resort Delight,Mumbai,2333,4.6
Garden Grill,Mumbai,5123,4.8
Hotel Paradise,Mumbai,1093,3.6
Royal Heaven,Chennai,3524,2.8
Bistro Hub,Chennai,3206,5.0
Resort Grill,Chennai,2135,3.4
Resort Retreat,Chennai,1657,4.6
Hotel Terrace,Chennai,927,4.9
Palace Hub,Chennai,2435,3.3
Resort Spice,Chennai,5026,4.4
Hotel Spice,Kolkata,4431,4.3
Bistro Oasis,Kolkata,5449,3.7
Inn Heaven,Kolkata,1371,3.2
The Delight,Kolkata,2812,4.1
Lounge Hub,Kolkata,1965,3.9
Lounge Corner,Kolkata,1363,3.4
Cafe Terrace,Kolkata,6459,4.2
Palace Heaven,Bengaluru,5029,3.4
Cafe Retreat,Bengaluru,6284,2.8
The Paradise,Bengaluru,5120,4.6
Resort Heaven,Bengaluru,3651,3.3
Bistro Oasis,Bengaluru,6600,3.7
Garden Grill,Bengaluru,1036,3.3
Garden Corner,Bengaluru,3448,4.2
Royal Corner,Bengaluru,3833,3.5
Cafe Grill,Hyderabad,4063,5.0
Royal Retreat,Hyderabad,3762,5.0
Inn Oasis,Hyderabad,3741,4.8
Resort Paradise,Hyderabad,5446,2.6
Hotel Spice,Hyderabad,5474,4.5
Lounge Oasis,Hyderabad,2485,4.0
Plaza Hub,Hyderabad,6480,3.4
Lounge Spice,Hyderabad,4727,4.2
Hotel Oasis,Hyderabad,2710,4.6
The Paradise,Hyderabad,1606,2.9
Lounge Terrace,Pune,5825,2.7
Plaza Hub,Pune,3771,3.4
Garden Paradise,Pune,1280,4.4
Palace Grill,Pune,6769,4.4
The Hub,Pune,4271,3.1
Palace Terrace,Pune,5956,2.8
Cafe Heaven,Pune,1749,3.3
Lounge Hub,Pune,6205,3.1
Plaza Terrace,Pune,4430,2.9
The Heaven,Pune,4106,4.6
Plaza Corner,Ahmedabad,6902,3.8
Hotel Oasis,Ahmedabad,2122,3.6
Plaza Corner,Ahmedabad,5688,4.2
Bistro Paradise,Ahmedabad,6273,4.3
Cafe Grill,Ahmedabad,1136,3.0
Palace Corner,Ahmedabad,4375,2.5
Lounge Spice,Ahmedabad,5600,4.2
Garden Spice,Ahmedabad,5806,4.5
Inn Paradise,Jaipur,6646,3.4
Royal Grill,Jaipur,986,3.4
Lounge Delight,Jaipur,3735,3.4
Bistro Retreat,Jaipur,3124,3.5
Hotel Terrace,Jaipur,6694,3.2
Lounge Retreat,Jaipur,6592,3.6
Royal Delight,Jaipur,2804,3.2
The Corner,Lucknow,1201,4.0
Cafe Paradise,Lucknow,4987,5.0
Inn Terrace,Lucknow,1228,4.4
The Spice,Lucknow,1599,2.6
Royal Paradise,Lucknow,6406,3.9
Lounge Grill,Lucknow,2738,2.5
Palace Terrace,Delhi,5265,4.8
Hotel Delight,Delhi,4821,5.0
Palace Hub,Delhi,6021,4.6
Plaza Spice,Delhi,2166,4.1
Hotel Corner,Delhi,5497,3.8
Hotel Spice,Delhi,5995,3.9
Plaza Spice,Delhi,3503,2.9
Garden Delight,Delhi,3975,3.5
Lounge Paradise,Delhi,3255,2.5
Palace Spice,Delhi,6480,2.6
Bistro Heaven,Mumbai,6430,4.8
The Grill,Mumbai,4371,3.7
Resort Hub,Mumbai,6291,4.4
Garden Corner,Mumbai,3059,3.6
Bistro Oasis,Mumbai,2470,2.6
Lounge Delight,Mumbai,1350,3.9
Inn Hub,Mumbai,5430,4.8
The Delight,Mumbai,3126,2.6
Royal Spice,Mumbai,1840,3.9
Inn Heaven,Mumbai,3621,3.1
Palace Retreat,Chennai,6699,3.6
Inn Retreat,Chennai,6647,4.8
Palace Paradise,Chennai,2106,3.3
Garden Retreat,Chennai,1779,4.3
Cafe Delight,Chennai,4521,2.6
Cafe Spice,Chennai,3315,2.9
Royal Oasis,Chennai,2300,4.3
Garden Grill,Kolkata,5175,3.6
The Paradise,Kolkata,5206,3.9
Garden Oasis,Kolkata,3349,2.8
Bistro Delight,Kolkata,5555,2.9
Palace Terrace,Kolkata,3262,4.4
The Oasis,Kolkata,2655,4.8
Plaza Spice,Kolkata,3077,4.2
Inn Corner,Bengaluru,1625,4.9
Palace Terrace,Bengaluru,5915,3.9
Bistro Grill,Bengaluru,1870,3.3
Hotel Hub,Bengaluru,4093,2.9
Garden Hub,Bengaluru,5387,2.6
Inn Grill,Bengaluru,4886,2.5
Garden Paradise,Bengaluru,6096,3.0
Inn Heaven,Bengaluru,1556,4.0
Lounge Hub,Hyderabad,3308,4.7
Plaza Delight,Hyderabad,5907,4.6
Hotel Delight,Hyderabad,894,4.5
Inn Heaven,Hyderabad,6676,2.9
Palace Spice,Hyderabad,4872,2.7
Inn Hub,Hyderabad,5226,3.3
The Hub,Hyderabad,4980,4.6
The Hub,Hyderabad,5099,3.8
Hotel Heaven,Hyderabad,2042,2.6
Garden Hub,Hyderabad,6998,2.8
Resort Corner,Pune,1675,4.9
Royal Delight,Pune,6157,4.9
The Delight,Pune,963,4.4
The Terrace,Pune,3981,3.9
Garden Retreat,Pune,5766,5.0
Royal Retreat,Pune,5789,3.7
Garden Delight,Pune,6067,4.3
Plaza Heaven,Pune,2500,4.0
Garden Oasis,Pune,2925,3.5
Hotel Oasis,Pune,3285,4.5
Inn Corner,Ahmedabad,3815,3.6
Royal Grill,Ahmedabad,4448,4.7
Resort Grill,Ahmedabad,1432,2.7
Bistro Terrace,Ahmedabad,1157,4.2
Plaza Hub,Ahmedabad,5487,2.7
The Oasis,Ahmedabad,3935,4.8
Royal Oasis,Ahmedabad,6516,4.1
The Delight,Ahmedabad,3410,4.6
Plaza Delight,Jaipur,4596,4.6
Cafe Grill,Jaipur,6488,2.9
Inn Hub,Jaipur,988,4.5
Garden Hub,Jaipur,1626,2.7
Plaza Grill,Jaipur,3235,4.1
Hotel Terrace,Jaipur,5069,4.9
Royal Spice,Jaipur,1761,3.5
Resort Retreat,Lucknow,5958,2.6
Hotel Paradise,Lucknow,5756,3.6
Resort Grill,Lucknow,1869,3.3
Palace Oasis,Lucknow,5581,2.5
The Oasis,Lucknow,3919,4.8
Garden Retreat,Lucknow,4264,3.1
Resort Terrace,Delhi,5429,3.4
Hotel Grill,Delhi,3970,3.5
Garden Hub,Delhi,6062,4.5
Garden Hub,Delhi,3241,2.9
Cafe Oasis,Delhi,5395,4.6
Bistro Spice,Delhi,2303,2.6
Palace Corner,Delhi,2771,4.3
Inn Corner,Delhi,5027,3.0
Bistro Hub,Delhi,3054,4.5
Cafe Heaven,Delhi,4742,2.8
Palace Spice,Mumbai,2603,2.5
Palace Spice,Mumbai,6132,3.6
Bistro Delight,Mumbai,2102,3.4
Palace Grill,Mumbai,3073,4.9
The Corner,Mumbai,3485,4.5
Royal Grill,Mumbai,4938,3.9
Garden Oasis,Mumbai,6977,4.1
Palace Retreat,Mumbai,2574,4.3
Inn Terrace,Mumbai,2096,4.0
Royal Delight,Mumbai,1664,4.9
The Paradise,Chennai,4764,5.0
Inn Delight,Chennai,2338,3.5
Bistro Retreat,Chennai,2441,4.4
Palace Delight,Chennai,5680,2.8
Lounge Heaven,Chennai,6475,2.8
Resort Delight,Chennai,4674,3.9
Hotel Corner,Chennai,5694,4.8
Palace Delight,Kolkata,3881,4.6
Bistro Hub,Kolkata,6529,5.0
Royal Paradise,Kolkata,3503,4.5
Royal Delight,Kolkata,5637,2.7
Royal Spice,Kolkata,4987,2.9
Resort Oasis,Kolkata,6193,3.4
Palace Corner,Kolkata,3694,3.7
Royal Paradise,Bengaluru,3995,4.2
The Delight,Bengaluru,3438,4.7
Plaza Spice,Bengaluru,4426,2.9
Palace Paradise,Bengaluru,6297,4.7
The Paradise,Bengaluru,5854,4.8
Lounge Retreat,Bengaluru,2031,4.1
Garden Spice,Bengaluru,5049,4.6
The Retreat,Bengaluru,4713,4.1
Resort Paradise,Hyderabad,3343,4.6
Resort Oasis,Hyderabad,6125,3.3
Garden Delight,Hyderabad,6343,5.0
Plaza Spice,Hyderabad,6488,3.7
Resort Paradise,Hyderabad,3637,3.9
Cafe Delight,Hyderabad,4729,3.5
Cafe Oasis,Hyderabad,1824,2.6
The Terrace,Hyderabad,5523,2.7
Palace Spice,Hyderabad,4691,2.7
Lounge Heaven,Hyderabad,2867,3.0
Inn Paradise,Pune,6415,4.8
Bistro Terrace,Pune,3094,3.3
Hotel Hub,Pune,6499,4.0
Resort Oasis,Pune,6965,3.3
The Corner,Pune,3721,4.7
Garden Retreat,Pune,3415,3.8
Royal Heaven,Pune,2348,4.8
Lounge Delight,Pune,5267,4.0
Inn Oasis,Pune,4366,3.5
Hotel Hub,Pune,1602,4.9
Plaza Grill,Ahmedabad,3754,2.6
Cafe Hub,Ahmedabad,5394,4.0
Palace Delight,Ahmedabad,2096,3.7
Resort Hub,Ahmedabad,6774,4.4
Lounge Corner,Ahmedabad,5145,4.0
Garden Retreat,Ahmedabad,5947,2.8
Royal Retreat,Ahmedabad,965,3.3
Cafe Hub,Ahmedabad,6207,3.8
The Hub,Jaipur,6973,3.8
Resort Terrace,Jaipur,4346,3.0
Garden Corner,Jaipur,5130,3.5
The Corner,Jaipur,2435,2.8
The Retreat,Jaipur,5352,3.5
Lounge Grill,Jaipur,5489,3.2
The Oasis,Jaipur,6710,2.9
Palace Oasis,Lucknow,6218,3.2
Palace Retreat,Lucknow,4139,2.9
Bistro Retreat,Lucknow,5870,4.7
Garden Delight,Lucknow,3667,4.5
Plaza Delight,Lucknow,4656,3.3
Plaza Terrace,Lucknow,6182,4.6
Resort Terrace,Delhi,6707,4.4
Cafe Heaven,Delhi,1734,4.0
Hotel Delight,Delhi,1464,3.0
Garden Grill,Delhi,940,4.9
Palace Retreat,Delhi,3534,4.5
Inn Spice,Delhi,5230,3.7
Garden Hub,Delhi,2879,3.9
Cafe Terrace,Delhi,6411,3.1
Cafe Spice,Delhi,5300,2.8
Garden Hub,Delhi,6843,4.3
Palace Corner,Mumbai,1234,3.4
Hotel Paradise,Mumbai,6990,4.8
Garden Heaven,Mumbai,3628,4.7
Inn Paradise,Mumbai,2411,4.3
Plaza Corner,Mumbai,2503,3.5
Cafe Heaven,Mumbai,1345,4.4
Bistro Grill,Mumbai,2299,3.6
Plaza Delight,Mumbai,818,4.1
Garden Paradise,Mumbai,6364,4.8
Royal Heaven,Mumbai,5683,3.9
Royal Delight,Chennai,935,4.9
Resort Grill,Chennai,1021,4.3
Plaza Heaven,Chennai,4127,3.9
Cafe Delight,Chennai,3593,2.7
Bistro Oasis,Chennai,4410,3.0
Inn Grill,Chennai,1052,2.7
Lounge Corner,Chennai,3101,4.1
Plaza Heaven,Kolkata,4688,3.5
The Paradise,Kolkata,1526,3.6
Royal Spice,Kolkata,6296,4.5
Cafe Hub,Kolkata,1319,2.8
Lounge Terrace,Kolkata,5012,3.5
Cafe Grill,Kolkata,1818,4.8
Palace Retreat,Kolkata,3357,3.6
Plaza Retreat,Bengaluru,4633,4.3
Hotel Heaven,Bengaluru,4586,3.6
Palace Grill,Bengaluru,2586,4.4
Cafe Spice,Bengaluru,835,3.1
Bistro Retreat,Bengaluru,6453,3.5
Hotel Delight,Bengaluru,4399,2.7
Inn Retreat,Bengaluru,2964,4.2
Royal Oasis,Bengaluru,2869,3.9
Royal Retreat,Hyderabad,1435,3.5
Royal Spice,Hyderabad,1732,2.6
The Oasis,Hyderabad,4412,3.5
Hotel Retreat,Hyderabad,5785,3.5
Inn Spice,Hyderabad,6812,3.5
Hotel Corner,Hyderabad,4531,4.8
Bistro Delight,Hyderabad,3316,4.6
Bistro Spice,Hyderabad,1447,3.5
Resort Hub,Hyderabad,3188,4.5
The Corner,Hyderabad,4057,2.7
Plaza Paradise,Pune,3783,4.5
Hotel Spice,Pune,4484,4.5
Resort Retreat,Pune,5758,2.6
Resort Paradise,Pune,890,4.9
Inn Heaven,Pune,2563,4.2
Plaza Terrace,Pune,947,3.2
Cafe Retreat,Pune,6599,3.8
Cafe Spice,Pune,4487,4.4
Cafe Terrace,Pune,1810,4.8
The Oasis,Pune,4949,4.8
Royal Terrace,Ahmedabad,2107,4.5
Lounge Oasis,Ahmedabad,1123,2.8
The Heaven,Ahmedabad,4889,4.2
Palace Terrace,Ahmedabad,3214,4.0
Cafe Delight,Ahmedabad,3106,3.4
Inn Corner,Ahmedabad,1839,4.7
Hotel Spice,Ahmedabad,5937,3.7
Cafe Spice,Ahmedabad,4376,4.2
Bistro Grill,Jaipur,3492,5.0
Hotel Corner,Jaipur,1881,4.0
Plaza Heaven,Jaipur,6517,5.0
Cafe Heaven,Jaipur,2023,4.2
Resort Corner,Jaipur,5332,4.9
Bistro Spice,Jaipur,2255,4.0
Inn Spice,Jaipur,3507,3.6
Hotel Paradise,Lucknow,6777,4.1
Bistro Oasis,Lucknow,5190,3.2
Inn Delight,Lucknow,3641,3.6
Plaza Terrace,Lucknow,2465,3.0
Cafe Spice,Lucknow,5283,4.2
Palace Terrace,Lucknow,802,3.4
Lounge Spice,Delhi,2408,3.1
Plaza Delight,Delhi,6863,2.8
Royal Retreat,Delhi,2819,4.7
Inn Delight,Delhi,5525,3.1
Resort Heaven,Delhi,1036,4.1
Lounge Delight,Delhi,3064,4.7
Hotel Hub,Delhi,1230,3.4
Bistro Terrace,Delhi,6643,4.4
Garden Oasis,Delhi,3406,5.0
Garden Corner,Delhi,4840,3.2
The Grill,Mumbai,6752,2.7
Garden Delight,Mumbai,3867,4.4
Palace Heaven,Mumbai,2187,3.5
Palace Corner,Mumbai,3590,3.9
Royal Hub,Mumbai,4390,2.5
Plaza Paradise,Mumbai,6290,3.2
Cafe Oasis,Mumbai,1340,4.6
Bistro Delight,Mumbai,2139,3.2
Cafe Paradise,Mumbai,5729,3.9
The Corner,Mumbai,2105,3.3
The Hub,Chennai,2675,3.6
Hotel Hub,Chennai,5460,4.7
Palace Oasis,Chennai,905,3.6
The Terrace,Chennai,6266,3.3
Palace Oasis,Chennai,2012,3.3
Resort Spice,Chennai,5983,3.2
Hotel Corner,Chennai,3959,4.5
Bistro Oasis,Kolkata,5807,4.4
Garden Retreat,Kolkata,3070,3.2
Palace Spice,Kolkata,6198,2.9
Garden Heaven,Kolkata,6265,3.6
Royal Oasis,Kolkata,3837,4.5
Hotel Corner,Kolkata,3796,4.0
Palace Corner,Kolkata,5975,4.3
Hotel Retreat,Bengaluru,6155,3.4
Lounge Paradise,Bengaluru,6361,4.8
Royal Retreat,Bengaluru,6280,2.9
Cafe Spice,Bengaluru,2713,4.1
Palace Terrace,Bengaluru,4651,4.8
Bistro Corner,Bengaluru,6244,3.8
Bistro Retreat,Bengaluru,6007,4.0
Inn Hub,Bengaluru,3823,3.5
Resort Delight,Hyderabad,6662,2.5
Bistro Delight,Hyderabad,4073,4.7
Lounge Corner,Hyderabad,4263,3.5
Inn Grill,Hyderabad,2625,4.8
Hotel Paradise,Hyderabad,3563,3.8
Bistro Paradise,Hyderabad,5423,4.3
Inn Spice,Hyderabad,2684,3.5
Plaza Corner,Hyderabad,5995,4.4
Cafe Oasis,Hyderabad,5235,2.6
The Corner,Hyderabad,4032,3.7
Royal Corner,Pune,4084,4.2
Plaza Oasis,Pune,4543,3.0
Cafe Oasis,Pune,4905,3.6
Cafe Grill,Pune,1534,4.9
Cafe Paradise,Pune,5973,2.9
Plaza Oasis,Pune,4815,4.0
Plaza Retreat,Pune,6897,2.7
Inn Grill,Pune,4189,2.6
Royal Terrace,Pune,4933,3.8
Inn Corner,Pune,1302,2.9
Palace Corner,Ahmedabad,5193,4.0
Garden Oasis,Ahmedabad,6846,3.2
Garden Oasis,Ahmedabad,1452,4.2
Plaza Delight,Ahmedabad,2641,3.7
Cafe Corner,Ahmedabad,6387,4.2
Cafe Oasis,Ahmedabad,3431,3.9
Inn Paradise,Ahmedabad,5235,4.7
Plaza Delight,Ahmedabad,4370,2.6
Lounge Retreat,Jaipur,1779,4.0
Plaza Corner,Jaipur,5076,3.7
Lounge Corner,Jaipur,1340,2.6
Cafe Spice,Jaipur,2094,3.8
Hotel Paradise,Jaipur,1324,3.7
Hotel Retreat,Jaipur,5222,4.3
Resort Heaven,Jaipur,1078,3.5
Resort Grill,Lucknow,6200,3.5
Resort Paradise,Lucknow,3935,3.5
The Paradise,Lucknow,5193,4.5
Palace Oasis,Lucknow,6623,4.1
Royal Hub,Lucknow,5994,3.6
Resort Delight,Lucknow,5476,2.8
Royal Terrace,Delhi,4689,4.5
Hotel Hub,Delhi,3645,3.9
Cafe Retreat,Delhi,4936,3.8
Garden Delight,Delhi,4862,3.7
Inn Hub,Delhi,1156,2.5
The Paradise,Delhi,3869,5.0
Cafe Retreat,Delhi,4072,5.0
The Oasis,Delhi,6034,3.1
Inn Retreat,Delhi,5493,4.2
Garden Oasis,Delhi,902,4.6
Lounge Grill,Mumbai,3492,4.5
Inn Delight,Mumbai,6739,4.9
Cafe Corner,Mumbai,4551,4.4
Cafe Corner,Mumbai,2058,2.6
Bistro Hub,Mumbai,3841,3.3
Resort Spice,Mumbai,3294,2.8
Hotel Paradise,Mumbai,4450,4.4
Inn Retreat,Mumbai,2255,2.8
Garden Terrace,Mumbai,1352,4.6
Hotel Hub,Mumbai,5503,4.1
Inn Terrace,Chennai,2060,3.8
Royal Grill,Chennai,2478,2.6
Hotel Terrace,Chennai,2229,4.1
Garden Terrace,Chennai,5100,3.0
Lounge Delight,Chennai,5425,4.9
Plaza Terrace,Chennai,4888,3.1
Inn Heaven,Chennai,2719,3.5
Royal Grill,Kolkata,3571,3.2
Palace Corner,Kolkata,5981,4.2
The Delight,Kolkata,1580,4.1
Lounge Oasis,Kolkata,6574,4.4
Royal Grill,Kolkata,880,5.0
Hotel Hub,Kolkata,1303,3.2
Royal Heaven,Kolkata,4579,4.9
Garden Spice,Bengaluru,6441,4.3
The Paradise,Bengaluru,2446,3.2
Bistro Heaven,Bengaluru,2062,3.3
Garden Retreat,Bengaluru,3275,2.8
Royal Grill,Bengaluru,2044,3.9
Bistro Paradise,Bengaluru,2570,3.6
Royal Heaven,Bengaluru,5717,4.3
Palace Terrace,Bengaluru,4467,3.1
Inn Grill,Hyderabad,5517,4.0
Royal Paradise,Hyderabad,3973,4.2
Plaza Retreat,Hyderabad,5282,3.9
Inn Delight,Hyderabad,6807,4.5
Inn Retreat,Hyderabad,2777,2.9
Resort Terrace,Hyderabad,2026,3.7
Inn Corner,Hyderabad,5675,3.5
Inn Terrace,Hyderabad,6545,3.2
Palace Paradise,Hyderabad,810,4.0
Lounge Oasis,Hyderabad,901,4.8
Garden Delight,Pune,1797,4.2
The Retreat,Pune,2919,4.7
The Oasis,Pune,4308,2.8
Cafe Hub,Pune,3777,3.3
Hotel Grill,Pune,6405,3.7
Hotel Hub,Pune,4498,4.9
Lounge Retreat,Pune,4589,2.6
Resort Heaven,Pune,1355,4.4
Bistro Delight,Pune,6177,4.8
Garden Oasis,Pune,5614,3.6
Garden Retreat,Ahmedabad,6510,2.6
Bistro Corner,Ahmedabad,4994,3.0
Hotel Delight,Ahmedabad,4439,4.6
Inn Corner,Ahmedabad,2848,4.7
Cafe Grill,Ahmedabad,5988,4.1
Palace Oasis,Ahmedabad,4595,4.9
Garden Paradise,Ahmedabad,6300,2.7
Cafe Spice,Ahmedabad,6755,3.8
Plaza Spice,Jaipur,5480,2.9
Resort Oasis,Jaipur,3607,3.2
Garden Retreat,Jaipur,3950,3.1
Palace Grill,Jaipur,5393,3.1
Cafe Retreat,Jaipur,3972,4.1
Royal Paradise,Jaipur,1861,3.9
Palace Corner,Jaipur,1805,3.0
Resort Hub,Lucknow,3497,4.0
The Terrace,Lucknow,1226,4.5
Lounge Corner,Lucknow,5746,3.0
Garden Oasis,Lucknow,6643,2.6
Palace Retreat,Lucknow,5486,3.5
Hotel Paradise,Lucknow,3741,4.7
Plaza Corner,Delhi,5716,2.5
Hotel Retreat,Delhi,5479,4.0
Plaza Delight,Delhi,3571,3.2
Bistro Paradise,Delhi,4540,4.6
Garden Paradise,Delhi,4109,4.2
Plaza Oasis,Delhi,1927,3.1
Garden Terrace,Delhi,4895,3.0
Lounge Spice,Delhi,6019,3.3
Hotel Paradise,Delhi,5284,4.4
Garden Terrace,Delhi,2205,4.5
Resort Oasis,Mumbai,4782,4.3
Resort Terrace,Mumbai,6912,3.5
Lounge Heaven,Mumbai,3602,3.8
Bistro Oasis,Mumbai,5252,2.9
Inn Oasis,Mumbai,6636,3.9
