Name of the hotel,City,Budget for 1 day and night,Rating of the hotel
Hotel Residency,Chennai,3892,4.1
Palace Oasis,Chennai,6775,4.0
Hotel Oasis,Chennai,3314,4.9
Grand Retreat,Chennai,3452,2.6
Palace Inn,Kolkata,3504,3.0
Resort Residency,Kolkata,3447,3.8
Regency Inn,Kolkata,6232,4.5
Plaza Lounge,Kolkata,9231,4.7
Bay Retreat,Kolkata,5969,2.7
Hotel Palace,Kolkata,11312,3.6
Hotel Gardens,Bengaluru,12782,3.9
Palace Lounge,Bengaluru,5111,4.8
Heights Suites,Bengaluru,11722,3.2
Bay Vista,Bengaluru,11239,4.1
Resort Lounge,Bengaluru,1925,3.4
Grand Palace,Bengaluru,13417,4.5
Hotel Retreat,Bengaluru,14108,3.0
Inn Retreat,Bengaluru,12288,4.1
Plaza Palace,Bengaluru,4457,3.3
Bay Oasis,Hyderabad,857,3.6
Hotel Heights,Hyderabad,2996,3.8
Regency Inn,Hyderabad,5564,4.8
Resort Vista,Hyderabad,11424,3.2
Palace Inn,Hyderabad,7914,5.0
Regency Lounge,Hyderabad,12386,3.6
Royal Heights,Hyderabad,11354,2.8
Palace Suites,Hyderabad,14450,3.0
Hotel Inn,Hyderabad,2433,4.1
Hotel Lounge,Pune,13672,3.9
Resort Suites,Pune,1397,4.6
Suites Suites,Pune,7286,4.7
Royal Palace,Pune,3338,4.3
Heights Inn,Pune,3038,4.2
Plaza Oasis,Pune,12343,4.0
Resort Suites,Pune,8873,3.6
Inn Suites,Pune,6805,4.9
Hotel Vista,Pune,6314,4.0
Inn Suites,Ahmedabad,6249,4.3
Plaza Residency,Ahmedabad,9379,4.2
Heights Retreat,Ahmedabad,1287,3.6
Resort Lounge,Ahmedabad,1772,4.1
Regency Inn,Ahmedabad,3529,3.6
Inn Suites,Ahmedabad,12824,4.7
Hotel Oasis,Ahmedabad,4133,4.0
Palace Inn,Ahmedabad,4238,2.8
Inn Retreat,Ahmedabad,10570,4.8
Regency Lounge,Ahmedabad,13481,4.3
Hotel Vista,Jaipur,6860,3.8
Hotel Vista,Jaipur,9238,2.8
Suites Lounge,Jaipur,10977,3.5
Inn Residency,Jaipur,14350,3.4
Regency Palace,Jaipur,9353,4.2
Royal Residency,Jaipur,4641,4.0
Grand Gardens,Jaipur,6880,4.1
Hotel Heights,Jaipur,14659,4.7
Bay Oasis,Lucknow,4970,4.6
Hotel Residency,Lucknow,13651,4.5
Hotel Suites,Lucknow,3128,4.9
Bay Gardens,Lucknow,9026,3.2
Palace Gardens,Lucknow,2845,3.6
Suites Oasis,Lucknow,7603,2.8
Resort Oasis,Delhi,7959,2.8
Bay Palace,Delhi,13765,4.3
Grand Retreat,Delhi,2841,4.5
Bay Vista,Delhi,4014,3.1
Heights Residency,Delhi,3608,3.1
Hotel Retreat,Delhi,5142,4.8
Palace Gardens,Delhi,4005,2.9
Resort Gardens,Mumbai,10729,4.2
Suites Gardens,Mumbai,10811,3.6
Inn Inn,Mumbai,2727,3.1
Royal Residency,Mumbai,11103,3.3
Suites Lounge,Mumbai,5684,4.4
Grand Suites,Mumbai,10991,3.2
Grand Palace,Chennai,9783,2.5
Heights Suites,Chennai,4603,3.8
Suites Heights,Chennai,7150,2.6
Royal Palace,Chennai,14232,5.0
Suites Heights,Chennai,11277,2.8
Hotel Vista,Chennai,6890,3.4
Hotel Suites,Chennai,9333,3.8
Hotel Vista,Kolkata,1640,4.6
Inn Oasis,Kolkata,8170,3.3
Grand Retreat,Kolkata,6440,4.7
Suites Lounge,Kolkata,8648,3.4
Inn Suites,Kolkata,6130,3.7
Hotel Lounge,Kolkata,2056,2.8
Hotel Residency,Bengaluru,3795,4.7
Regency Vista,Bengaluru,13059,4.1
Heights Inn,Bengaluru,7406,5.0
Resort Gardens,Bengaluru,7611,4.0
Suites Lounge,Bengaluru,4533,3.8
Heights Lounge,Bengaluru,10389,4.2
Plaza Residency,Bengaluru,6224,4.2
Royal Vista,Bengaluru,4147,3.0
Resort Inn,Bengaluru,14040,3.8
Royal Inn,Hyderabad,6629,2.6
Grand Lounge,Hyderabad,6739,3.2
Royal Oasis,Hyderabad,7107,3.7
Resort Residency,Hyderabad,11550,2.7
Grand Gardens,Hyderabad,7563,2.7
Resort Vista,Hyderabad,3841,2.6
Resort Heights,Hyderabad,14024,4.0
Resort Heights,Hyderabad,4608,2.8
Grand Oasis,Hyderabad,7332,3.8
Palace Gardens,Pune,12302,4.2
Heights Heights,Pune,8053,2.8
Hotel Palace,Pune,9186,3.0
Hotel Oasis,Pune,6276,4.5
Bay Suites,Pune,14801,4.1
Bay Lounge,Pune,10460,3.9
Resort Suites,Pune,11973,3.4
Regency Retreat,Pune,4160,4.4
Resort Vista,Pune,11895,2.7
Grand Retreat,Ahmedabad,14762,3.9
Suites Retreat,Ahmedabad,1371,2.6
Royal Residency,Ahmedabad,8368,3.1
Palace Vista,Ahmedabad,13135,3.1
Hotel Suites,Ahmedabad,7852,4.1
Inn Vista,Ahmedabad,14980,4.0
Hotel Vista,Ahmedabad,14062,2.7
Plaza Heights,Ahmedabad,2383,2.6
Inn Retreat,Ahmedabad,3142,4.1
Regency Suites,Ahmedabad,2124,4.4
Inn Heights,Jaipur,13631,2.9
Palace Gardens,Jaipur,1346,4.4
Heights Palace,Jaipur,13740,4.8
Inn Lounge,Jaipur,5226,5.0
Bay Residency,Jaipur,11643,4.4
Suites Lounge,Jaipur,5902,3.2
Bay Inn,Jaipur,7731,3.5
Hotel Suites,Jaipur,11449,4.1
Suites Lounge,Lucknow,6210,3.7
Bay Vista,Lucknow,6112,3.5
Inn Palace,Lucknow,7031,2.7
Royal Lounge,Lucknow,11641,3.8
Palace Palace,Lucknow,11853,4.7
Resort Oasis,Lucknow,9476,3.6
Palace Inn,Delhi,6582,4.4
Hotel Lounge,Delhi,12780,3.0
Bay Inn,Delhi,3909,4.4
Plaza Vista,Delhi,3115,2.8
Resort Lounge,Delhi,9702,3.2
Plaza Suites,Delhi,10522,3.3
Grand Retreat,Delhi,7126,3.2
Resort Heights,Mumbai,8627,3.9
Resort Palace,Mumbai,12361,4.7
Suites Gardens,Mumbai,12459,3.0
Inn Lounge,Mumbai,2813,4.8
Resort Lounge,Mumbai,12515,3.4
Plaza Residency,Mumbai,8740,2.9
Inn Oasis,Chennai,14852,3.3
Hotel Palace,Chennai,8585,3.5
Plaza Retreat,Chennai,7756,4.8
Royal Palace,Chennai,10940,4.6
Suites Palace,Chennai,7672,2.7
Heights Gardens,Chennai,13696,3.0
Plaza Heights,Chennai,11410,4.2
Plaza Vista,Kolkata,14785,2.9
Bay Palace,Kolkata,4682,3.8
Hotel Vista,Kolkata,4294,4.3
Bay Palace,Kolkata,12446,3.9
Palace Lounge,Kolkata,11397,3.6
Resort Residency,Kolkata,7044,3.3
Palace Oasis,Bengaluru,10672,3.8
Plaza Oasis,Bengaluru,12530,3.1
Hotel Vista,Bengaluru,1154,3.9
Heights Gardens,Bengaluru,3489,2.5
Grand Inn,Bengaluru,8229,4.5
Bay Suites,Bengaluru,9134,4.6
Royal Oasis,Bengaluru,3218,3.3
Regency Palace,Bengaluru,1796,4.4
Heights Retreat,Bengaluru,7811,3.9
Suites Vista,Hyderabad,9237,3.9
Plaza Inn,Hyderabad,9321,4.5
Plaza Suites,Hyderabad,1531,3.0
Plaza Vista,Hyderabad,5556,3.9
Heights Vista,Hyderabad,3780,4.2
Inn Residency,Hyderabad,7839,4.4
Grand Retreat,Hyderabad,12097,3.1
Plaza Suites,Hyderabad,7963,3.4
Inn Palace,Hyderabad,13940,4.7
Bay Heights,Pune,13590,3.6
Heights Retreat,Pune,2346,2.6
Regency Inn,Pune,8526,3.8
Heights Residency,Pune,7596,3.9
Resort Inn,Pune,3741,3.2
Plaza Oasis,Pune,4590,5.0
Regency Inn,Pune,8330,2.6
Inn Gardens,Pune,10579,3.5
Grand Suites,Pune,9546,4.6
Heights Palace,Ahmedabad,4535,4.1
Royal Residency,Ahmedabad,1814,4.5
Hotel Lounge,Ahmedabad,7297,4.5
Regency Vista,Ahmedabad,1006,5.0
Royal Oasis,Ahmedabad,6652,4.2
Regency Gardens,Ahmedabad,4776,2.7
Bay Heights,Ahmedabad,9839,4.9
Inn Vista,Ahmedabad,10952,3.2
Regency Residency,Ahmedabad,13133,4.2
Bay Residency,Ahmedabad,9678,3.6
Bay Heights,Jaipur,12050,3.9
Palace Inn,Jaipur,6763,3.5
Bay Suites,Jaipur,13567,2.6
Hotel Inn,Jaipur,5478,4.6
Heights Heights,Jaipur,2962,3.4
Royal Retreat,Jaipur,2109,4.7
Grand Suites,Jaipur,3647,4.3
Suites Palace,Jaipur,8945,2.9
Regency Oasis,Lucknow,2645,4.9
Resort Retreat,Lucknow,11275,4.2
Resort Retreat,Lucknow,6653,3.1
Hotel Heights,Lucknow,13540,4.5
Grand Gardens,Lucknow,5927,4.6
Regency Inn,Lucknow,6750,4.4
Heights Suites,Delhi,9463,4.4
Palace Oasis,Delhi,12462,4.4
Inn Suites,Delhi,12481,4.7
Heights Gardens,Delhi,8622,4.0
Suites Heights,Delhi,3374,3.3
Royal Heights,Delhi,4906,4.7
Bay Residency,Delhi,13139,2.6
Inn Gardens,Mumbai,5455,4.2
Palace Suites,Mumbai,12162,3.1
Royal Lounge,Mumbai,1729,3.6
Suites Suites,Mumbai,10276,3.2
Royal Residency,Mumbai,11346,3.3
Royal Heights,Mumbai,14628,4.4
Grand Oasis,Chennai,3681,5.0
Regency Inn,Chennai,13923,3.1
Plaza Lounge,Chennai,4679,3.9
Inn Residency,Chennai,4585,2.8
Palace Residency,Chennai,4574,3.9
Grand Lounge,Chennai,2597,3.2
Bay Vista,Chennai,12707,3.3
Palace Residency,Kolkata,10563,3.8
Regency Retreat,Kolkata,12417,4.2
Inn Heights,Kolkata,3034,2.9
Heights Inn,Kolkata,6618,4.6
Grand Suites,Kolkata,3003,4.7
Heights Inn,Kolkata,4961,3.7
Bay Vista,Bengaluru,3055,4.4
Regency Palace,Bengaluru,5408,2.8
Palace Retreat,Bengaluru,10981,4.0
Hotel Suites,Bengaluru,2922,4.6
Plaza Oasis,Bengaluru,12889,4.4
Plaza Suites,Bengaluru,9778,3.0
Hotel Palace,Bengaluru,7173,4.1
Palace Oasis,Bengaluru,7975,4.2
Palace Vista,Bengaluru,7114,3.5
Palace Vista,Hyderabad,7689,4.4
Bay Residency,Hyderabad,4564,3.2
Grand Retreat,Hyderabad,8650,4.4
Hotel Heights,Hyderabad,13351,3.6
Regency Palace,Hyderabad,10545,4.7
Palace Palace,Hyderabad,5262,4.6
Heights Vista,Hyderabad,9081,4.2
Hotel Oasis,Hyderabad,14026,3.1
Regency Lounge,Hyderabad,10899,3.6
Palace Suites,Pune,5492,3.4
Heights Vista,Pune,11618,3.6
Bay Residency,Pune,3918,3.7
Grand Retreat,Pune,11989,2.9
Inn Palace,Pune,11858,2.9
Bay Suites,Pune,8022,4.6
Hotel Residency,Pune,13744,2.9
Regency Vista,Pune,11160,4.7
Inn Oasis,Pune,10851,4.0
Regency Retreat,Ahmedabad,2946,4.3
Regency Vista,Ahmedabad,7266,4.5
Inn Palace,Ahmedabad,4325,2.7
Royal Lounge,Ahmedabad,13028,4.8
Suites Vista,Ahmedabad,8228,4.4
Plaza Oasis,Ahmedabad,7692,4.6
Resort Inn,Ahmedabad,11056,4.4
Hotel Palace,Ahmedabad,11671,4.2
Resort Palace,Ahmedabad,3118,4.3
Palace Palace,Ahmedabad,3865,3.4
Palace Oasis,Jaipur,9565,4.8
Resort Suites,Jaipur,14626,3.2
Heights Oasis,Jaipur,1462,3.2
Grand Heights,Jaipur,12701,3.0
Hotel Lounge,Jaipur,7275,5.0
Royal Lounge,Jaipur,10566,4.2
Plaza Heights,Jaipur,1782,3.2
Resort Lounge,Jaipur,5189,3.5
Plaza Vista,Lucknow,9207,4.8
Plaza Residency,Lucknow,4541,4.4
Suites Oasis,Lucknow,12841,4.5
Palace Vista,Lucknow,9959,5.0
Palace Palace,Lucknow,4048,3.3
Grand Lounge,Lucknow,4137,3.3
Bay Palace,Delhi,13516,3.7
Regency Heights,Delhi,10599,3.6
Plaza Suites,Delhi,13225,2.6
Heights Suites,Delhi,11755,2.7
Inn Gardens,Delhi,12708,3.1
Plaza Gardens,Delhi,9953,2.8
Bay Residency,Delhi,3767,4.1
Royal Vista,Mumbai,4275,2.9
Hotel Oasis,Mumbai,1816,3.1
Inn Heights,Mumbai,5142,3.5
Hotel Heights,Mumbai,9563,4.5
Regency Residency,Mumbai,7494,3.9
Hotel Suites,Mumbai,4959,4.9
Regency Inn,Chennai,3961,2.8
Heights Residency,Chennai,10667,4.7
Plaza Vista,Chennai,9097,4.6
Royal Heights,Chennai,8131,4.1
Grand Residency,Chennai,3560,4.6
Hotel Oasis,Chennai,7533,3.4
Suites Heights,Chennai,12294,3.8
Palace Vista,Kolkata,3696,4.7
Royal Gardens,Kolkata,9012,3.3
Regency Retreat,Kolkata,13546,3.4
Heights Oasis,Kolkata,7916,3.8
Suites Heights,Kolkata,5505,4.9
Heights Vista,Kolkata,11254,3.1
Heights Suites,Bengaluru,5111,2.7
Heights Gardens,Bengaluru,12333,4.6
Resort Lounge,Bengaluru,12250,2.5
Hotel Retreat,Bengaluru,10210,4.3
Suites Lounge,Bengaluru,3645,4.5
Royal Oasis,Bengaluru,7451,2.7
Heights Palace,Bengaluru,9843,4.2
Inn Vista,Bengaluru,8042,4.2
Plaza Suites,Bengaluru,800,4.7
Grand Lounge,Hyderabad,10996,2.6
Regency Vista,Hyderabad,1390,4.5
Royal Retreat,Hyderabad,9003,4.8
Royal Suites,Hyderabad,13736,4.1
Heights Vista,Hyderabad,4941,3.8
Inn Residency,Hyderabad,14243,2.8
Suites Inn,Hyderabad,13429,2.6
Resort Lounge,Hyderabad,1205,3.3
Regency Heights,Hyderabad,4392,2.5
Regency Oasis,Pune,8202,4.3
Resort Lounge,Pune,7031,4.4
Hotel Heights,Pune,10817,4.2
Grand Lounge,Pune,8479,4.3
Regency Palace,Pune,1174,3.9
Hotel Vista,Pune,9139,3.3
Hotel Gardens,Pune,9594,4.9
Hotel Lounge,Pune,9590,2.6
Regency Gardens,Pune,1105,4.5
Suites Residency,Ahmedabad,7341,4.2
Plaza Oasis,Ahmedabad,10564,4.4
Bay Retreat,Ahmedabad,4606,3.9
Resort Residency,Ahmedabad,4966,4.3
Regency Palace,Ahmedabad,8446,3.4
Royal Lounge,Ahmedabad,3912,4.6
Inn Gardens,Ahmedabad,942,4.9
Inn Palace,Ahmedabad,14834,4.4
Regency Inn,Ahmedabad,9508,4.5
Palace Vista,Ahmedabad,7637,2.6
Bay Retreat,Jaipur,8753,4.0
Resort Heights,Jaipur,6563,4.5
Suites Oasis,Jaipur,13885,3.8
Hotel Oasis,Jaipur,13368,4.6
Suites Residency,Jaipur,6857,3.0
Regency Heights,Jaipur,11091,4.3
Resort Vista,Jaipur,12989,4.0
Inn Lounge,Jaipur,12687,3.8
Plaza Retreat,Lucknow,4334,3.8
Palace Residency,Lucknow,4658,3.9
Hotel Residency,Lucknow,10654,2.8
Resort Palace,Lucknow,1885,3.0
Heights Heights,Lucknow,2015,2.9
Plaza Palace,Lucknow,11395,2.6
Resort Oasis,Delhi,1058,2.6
Hotel Inn,Delhi,6031,2.6
Heights Retreat,Delhi,9768,3.2
Plaza Vista,Delhi,14778,4.5
Resort Lounge,Delhi,3902,3.6
Palace Retreat,Delhi,11466,3.4
Resort Heights,Delhi,5246,2.5
Regency Gardens,Mumbai,5981,3.8
Heights Vista,Mumbai,994,4.7
Plaza Palace,Mumbai,11979,2.6
Resort Heights,Mumbai,14211,3.5
Suites Heights,Mumbai,7760,3.1
Heights Retreat,Mumbai,4321,3.6
Inn Palace,Chennai,8885,3.3
Grand Vista,Chennai,5573,4.4
Heights Gardens,Chennai,3869,3.9
Resort Inn,Chennai,5571,2.6
Grand Lounge,Chennai,2889,4.3
Palace Inn,Chennai,11788,4.6
Regency Inn,Chennai,8287,3.9
Bay Oasis,Kolkata,8874,4.8
Regency Residency,Kolkata,833,3.2
Palace Vista,Kolkata,5565,3.9
Regency Inn,Kolkata,10739,2.5
Bay Gardens,Kolkata,13165,4.8
Plaza Vista,Kolkata,4890,4.1
Grand Vista,Bengaluru,6892,3.3
Regency Palace,Bengaluru,13836,5.0
Grand Heights,Bengaluru,4042,4.4
Plaza Retreat,Bengaluru,6253,3.3
Palace Retreat,Bengaluru,1798,3.2
Bay Palace,Bengaluru,1502,3.5
Inn Retreat,Bengaluru,2837,3.3
Palace Retreat,Bengaluru,9842,4.0
Palace Palace,Bengaluru,6390,4.6
Regency Retreat,Hyderabad,11733,4.0
Regency Suites,Hyderabad,12107,4.8
Hotel Palace,Hyderabad,10822,3.7
Hotel Vista,Hyderabad,3538,3.6
Grand Retreat,Hyderabad,4564,2.6
Plaza Oasis,Hyderabad,12463,3.2
Heights Inn,Hyderabad,8593,2.9
Inn Gardens,Hyderabad,9157,3.4
Regency Suites,Hyderabad,5935,4.0
Resort Gardens,Pune,3108,3.6
Plaza Vista,Pune,3039,3.0
Plaza Residency,Pune,3801,4.3
Bay Vista,Pune,10085,3.7
Bay Gardens,Pune,4998,2.6
Plaza Lounge,Pune,10957,2.6
Regency Suites,Pune,4509,2.7
Inn Gardens,Pune,7791,3.9
Palace Gardens,Pune,4077,4.4
Plaza Lounge,Ahmedabad,8926,4.3
Resort Heights,Ahmedabad,9460,4.1
Regency Inn,Ahmedabad,7605,2.7
Suites Residency,Ahmedabad,9791,3.8
Resort Retreat,Ahmedabad,4667,2.8
Royal Retreat,Ahmedabad,1490,3.7
Regency Palace,Ahmedabad,5158,3.8
Bay Lounge,Ahmedabad,6208,4.0
Plaza Inn,Ahmedabad,13405,2.7
Hotel Lounge,Ahmedabad,5974,5.0
Bay Retreat,Jaipur,3207,3.2
Hotel Inn,Jaipur,13273,5.0
Inn Suites,Jaipur,12218,3.8
Regency Palace,Jaipur,2680,3.6
Resort Lounge,Jaipur,11078,4.4
Inn Suites,Jaipur,1633,3.3
Grand Lounge,Jaipur,10177,3.3
Resort Inn,Jaipur,11259,3.8
Regency Palace,Lucknow,2617,3.5
Royal Palace,Lucknow,5515,3.2
Bay Vista,Lucknow,12963,4.4
Royal Heights,Lucknow,8199,4.7
Regency Lounge,Lucknow,13635,3.9
Royal Heights,Lucknow,12064,2.8
Plaza Retreat,Delhi,2445,4.7
Hotel Suites,Delhi,12459,3.4
Hotel Gardens,Delhi,11110,3.4
Hotel Lounge,Delhi,6113,3.8
Grand Gardens,Delhi,13177,2.6
Regency Retreat,Delhi,5001,5.0
Regency Oasis,Delhi,4770,2.6
Inn Lounge,Mumbai,8439,5.0
Inn Residency,Mumbai,14901,4.6
Grand Gardens,Mumbai,11079,3.3
Resort Gardens,Mumbai,13074,3.2
Inn Palace,Mumbai,3887,4.1
Heights Palace,Mumbai,1683,4.3
Suites Oasis,Chennai,4803,3.0
Palace Heights,Chennai,13508,4.7
Resort Retreat,Chennai,11715,2.6
Plaza Oasis,Chennai,4696,3.6
Palace Heights,Chennai,10210,4.1
Resort Suites,Chennai,10999,3.8
Suites Heights,Chennai,8810,3.6
Heights Inn,Kolkata,2650,3.7
Royal Heights,Kolkata,10807,5.0
Grand Retreat,Kolkata,4777,2.5
Hotel Vista,Kolkata,7598,4.1
Plaza Heights,Kolkata,6134,4.0
Suites Retreat,Kolkata,907,4.0
Royal Suites,Bengaluru,5674,3.8
Inn Retreat,Bengaluru,7957,2.5
Plaza Retreat,Bengaluru,2929,3.4
Palace Residency,Bengaluru,10243,3.9
Plaza Inn,Bengaluru,4030,2.8
Suites Gardens,Bengaluru,5458,3.4
Royal Palace,Bengaluru,11634,3.0
Regency Lounge,Bengaluru,6110,3.4
Hotel Palace,Bengaluru,6682,3.3
Royal Suites,Hyderabad,14173,2.6
Royal Retreat,Hyderabad,7049,2.8
Royal Residency,Hyderabad,2081,4.2
Inn Residency,Hyderabad,4859,3.3
Hotel Lounge,Hyderabad,9549,4.1
Royal Vista,Hyderabad,6232,2.6
Grand Suites,Hyderabad,10083,4.9
Suites Residency,Hyderabad,9952,5.0
Suites Suites,Hyderabad,2063,3.4
Plaza Lounge,Pune,5105,4.8
Plaza Residency,Pune,3573,3.5
Resort Suites,Pune,14441,2.9
Bay Lounge,Pune,13987,3.2
Plaza Heights,Pune,2118,3.9
Bay Heights,Pune,11664,3.2
Bay Retreat,Pune,3730,4.4
Royal Vista,Pune,8373,4.7
Resort Retreat,Pune,13681,3.0
Heights Inn,Ahmedabad,5211,3.2
Plaza Palace,Ahmedabad,9837,3.2
Heights Gardens,Ahmedabad,11870,2.6
Palace Oasis,Ahmedabad,12049,2.8
Inn Palace,Ahmedabad,4059,3.5
Suites Vista,Ahmedabad,2654,3.2
Suites Retreat,Ahmedabad,14444,4.0
Regency Lounge,Ahmedabad,7431,4.3
Palace Gardens,Ahmedabad,8728,3.0
Heights Palace,Ahmedabad,13768,4.4
Plaza Inn,Jaipur,11199,4.8
Grand Vista,Jaipur,9643,4.7
Hotel Lounge,Jaipur,8182,4.3
Grand Gardens,Jaipur,3404,2.7
Suites Gardens,Jaipur,14964,2.9
Grand Oasis,Jaipur,13842,3.8
Royal Vista,Jaipur,4392,3.0
Resort Heights,Jaipur,2931,4.7
Grand Palace,Lucknow,6008,4.4
Inn Gardens,Lucknow,2502,3.0
Bay Inn,Lucknow,3842,2.8
Bay Gardens,Lucknow,14145,2.6
Inn Retreat,Lucknow,10270,4.5
Hotel Retreat,Lucknow,4027,4.3
Suites Lounge,Delhi,9112,3.9
Inn Retreat,Delhi,3974,3.4
Resort Lounge,Delhi,1017,4.7
Inn Lounge,Delhi,1315,4.0
Royal Palace,Delhi,2078,2.5
Regency Suites,Delhi,1123,3.4
Suites Heights,Delhi,2219,3.7
Hotel Heights,Mumbai,7256,4.9
Grand Heights,Mumbai,14288,3.0
Suites Vista,Mumbai,2752,4.6
Grand Palace,Mumbai,7093,4.9
Grand Vista,Mumbai,12358,2.8
Palace Heights,Mumbai,5254,4.9
Regency Retreat,Chennai,6880,2.8
Grand Oasis,Chennai,2349,3.4
Resort Suites,Chennai,4518,4.2
Plaza Suites,Chennai,11813,3.8
Plaza Suites,Chennai,9943,4.6
Hotel Gardens,Chennai,5899,2.9
Plaza Vista,Chennai,9300,4.6
Plaza Lounge,Kolkata,10311,3.1
Regency Heights,Kolkata,13601,4.4
Suites Palace,Kolkata,5118,4.2
Bay Vista,Kolkata,10984,2.8
Resort Lounge,Kolkata,13915,3.6
Resort Gardens,Kolkata,9910,3.9
Resort Palace,Bengaluru,11106,2.8
Suites Vista,Bengaluru,4941,2.9
Bay Residency,Bengaluru,3197,2.9
Hotel Gardens,Bengaluru,14678,4.4
Bay Palace,Bengaluru,11911,4.6
Regency Oasis,Bengaluru,3713,2.6
Regency Heights,Bengaluru,6612,2.9
Heights Palace,Bengaluru,9612,4.9
Regency Suites,Bengaluru,6207,4.2
Heights Suites,Hyderabad,14531,3.9
Heights Inn,Hyderabad,5190,3.8
Inn Vista,Hyderabad,9636,2.8
Royal Palace,Hyderabad,11781,3.6
Hotel Retreat,Hyderabad,11871,3.2
Palace Oasis,Hyderabad,5143,3.3
Grand Residency,Hyderabad,12159,2.9
Heights Oasis,Hyderabad,4288,4.9
Palace Residency,Hyderabad,13214,4.2
Regency Suites,Pune,6909,2.9
Heights Lounge,Pune,13088,4.8
Suites Heights,Pune,10070,2.9
Heights Lounge,Pune,5694,4.9
Hotel Suites,Pune,11614,3.7
Bay Oasis,Pune,928,3.4
Grand Lounge,Pune,4408,2.7
Hotel Heights,Pune,10206,4.4
Regency Retreat,Pune,6458,2.7
Bay Suites,Ahmedabad,7987,4.2
Hotel Palace,Ahmedabad,1047,4.0
Regency Retreat,Ahmedabad,8360,4.0
Plaza Oasis,Ahmedabad,1967,3.0
Palace Palace,Ahmedabad,2089,4.2
Hotel Residency,Ahmedabad,4620,4.9
Bay Gardens,Ahmedabad,1403,2.5
Resort Palace,Ahmedabad,7948,3.6
Bay Lounge,Ahmedabad,6605,5.0
Bay Palace,Ahmedabad,13863,4.0
Inn Residency,Jaipur,4258,4.2
Resort Inn,Jaipur,6328,3.1
Royal Residency,Jaipur,13385,4.0
Suites Residency,Jaipur,14168,3.1
Bay Oasis,Jaipur,5059,3.9
Inn Residency,Jaipur,7052,3.3
Heights Lounge,Jaipur,6142,2.8
Plaza Residency,Jaipur,3563,3.3
Bay Oasis,Lucknow,12687,2.6
Resort Suites,Lucknow,12224,3.9
Heights Palace,Lucknow,14411,4.9
Hotel Vista,Lucknow,4310,4.5
Regency Heights,Lucknow,10810,3.5
Suites Lounge,Lucknow,13795,4.1
Suites Heights,Delhi,5003,4.0
Royal Inn,Delhi,14850,4.3
Resort Residency,Delhi,12448,4.8
Royal Vista,Delhi,11605,4.9
Hotel Palace,Delhi,5843,4.3
Hotel Gardens,Delhi,13561,3.4
Grand Oasis,Delhi,8563,5.0
Palace Gardens,Mumbai,5734,3.6
Bay Vista,Mumbai,7481,3.5
Hotel Oasis,Mumbai,9459,2.8
Inn Inn,Mumbai,1569,4.6
Plaza Gardens,Mumbai,13722,4.2
Regency Residency,Mumbai,13669,4.8
Heights Vista,Chennai,12076,3.6
Grand Inn,Chennai,1528,4.1
Bay Oasis,Chennai,12956,4.5
Resort Heights,Chennai,5239,3.8
Grand Oasis,Chennai,5125,3.7
Hotel Palace,Chennai,7912,3.0
Heights Palace,Chennai,9124,3.7
Hotel Residency,Kolkata,3612,3.7
Royal Suites,Kolkata,4463,3.3
Hotel Suites,Kolkata,4435,2.6
Royal Oasis,Kolkata,6075,3.5
Regency Oasis,Kolkata,7039,4.2
Bay Residency,Kolkata,5573,4.2
Inn Residency,Bengaluru,12880,4.8
Bay Suites,Bengaluru,6777,4.3
Inn Oasis,Bengaluru,1239,4.4
Heights Heights,Bengaluru,14777,4.0
Regency Inn,Bengaluru,11031,4.0
Plaza Palace,Bengaluru,12333,3.4
Grand Oasis,Bengaluru,1556,3.6
Hotel Heights,Bengaluru,6716,2.8
Bay Suites,Bengaluru,11358,4.0
Plaza Lounge,Hyderabad,8734,3.7
Palace Oasis,Hyderabad,9741,4.5
Inn Suites,Hyderabad,2893,3.5
Palace Oasis,Hyderabad,5412,4.1
Palace Vista,Hyderabad,10877,5.0
Hotel Inn,Hyderabad,13868,4.4
Hotel Suites,Hyderabad,7573,3.6
Bay Vista,Hyderabad,14617,2.7
Plaza Lounge,Hyderabad,7467,4.7
Regency Palace,Pune,2781,2.6
Inn Palace,Pune,14122,4.0
Resort Gardens,Pune,4543,2.7
Hotel Heights,Pune,8797,4.9
Inn Suites,Pune,12609,4.3
Palace Inn,Pune,4115,4.3
Palace Palace,Pune,3356,4.7
Bay Residency,Pune,2339,4.7
Royal Heights,Pune,4088,3.8
Plaza Oasis,Ahmedabad,13087,2.8
Plaza Lounge,Ahmedabad,12996,4.5
Regency Lounge,Ahmedabad,2312,4.4
Suites Retreat,Ahmedabad,6346,3.9
Resort Heights,Ahmedabad,6844,3.1
Bay Suites,Ahmedabad,10226,3.3
Heights Palace,Ahmedabad,14856,2.6
Inn Suites,Ahmedabad,12035,4.1
Plaza Heights,Ahmedabad,12945,4.0
Palace Lounge,Ahmedabad,9908,4.0
Bay Heights,Jaipur,14106,2.9
Resort Gardens,Jaipur,3568,3.6
Resort Retreat,Jaipur,6714,3.3
Palace Suites,Jaipur,11669,4.5
Heights Vista,Jaipur,13789,3.5
Resort Heights,Jaipur,10782,4.3
Regency Heights,Jaipur,12247,4.1
Heights Oasis,Jaipur,9061,4.5
Heights Residency,Lucknow,9963,4.2
Palace Inn,Lucknow,9193,4.5
Bay Lounge,Lucknow,9341,2.9
Palace Suites,Lucknow,4901,3.8
